no,category_kdc,category_yes24,keywords_yes24
4688353,null,null,null
4688358,null,null,null
4688359,null,null,null
4688360,null,null,null
4688362,칠공예,null,null
4688365,통계학,null,null
4688367,통계학,null,null
4688370,아시아,null,null
4688371,건축 건축학,null,null
4688372,null,null,null
4688373,null,null,null
4688491,전집 총서,null,null
4688496,한자서체,null,null
4688512,nan,null,null
4688514,nan,null,null
4688515,건축 건축학,null,null
4688516,프로그래밍 프로그램 데이터,null,null
4688517,프로그래밍 프로그램 데이터,null,null
4688519,null,null,null
4688520,기술사,null,null
4688521,기계 역학 요소 및 설계,null,null
4688522,조각 조형미술,null,null
4688523,전각 인장,null,null
4688524,석조,null,null
4688525,한의학,null,null
4688526,조각 조형미술,null,null
4688528,한의학,null,null
4688529,한의학,null,null
4688530,조각 조형미술,null,null
4688531,건축재료,null,null
4688532,nan,null,null
4688533,nan,null,null
4688534,사진집,null,null
4688535,조각 조형미술,null,null
4688536,nan,null,null
4688538,학회 단체 협회 기관 회의,null,null
4688540,null,null,null
4688541,학교 행정 및 경영 보건 및 교육 지도,null,null
4688542,학교 행정 및 경영 보건 및 교육 지도,null,null
4688543,nan,null,null
4688544,일본 철학 사상,null,null
4688545,교육학,null,null
4688546,헌법,null,null
4688547,학교 행정 및 경영 보건 및 교육 지도,null,null
4688550,nan,null,null
4688551,러시아와 동부유럽,null,null
4688553,수리공학,null,null
4688554,아프리카 ,null,null
4688555,의학,null,null
4688556,의학,null,null
4688557,한의학,null,null
4688558,의학,null,null
4688559,교육 정책 및 행정,null,null
4688560,의학,null,null
4688561,치과의학 이비인후과학 안과학 및 기타 임상의학,null,null
4688562,사회 조직 및 제도,null,null
4688563,프로그래밍 프로그램 데이터,null,null
4688564,임상의학 일반,null,null
4688565,치과의학 이비인후과학 안과학 및 기타 임상의학,null,null
4688566,한의학,null,null
4688567,학교 행정 및 경영 보건 및 교육 지도,null,null
4688568,약학,null,null
4688569,nan,null,null
4688570,조각 조형미술,null,null
4688571,nan,null,null
4688572,nan,null,null
4688573,프로그래밍 프로그램 데이터,null,null
4688574,염직물공예 섬유공예,null,null
4688575,nan,null,null
4688576,null,null,null
4688577,난방 환기 및 공기조화 공학,null,null
4688578,nan,null,null
4688579,공학 공업일반 토목공학 환경공학,null,null
4688580,공학 공업일반 토목공학 환경공학,null,null
4688582,행정법,null,null
4688583,null,null,null
4688584,건축 건축학,null,null
4688585,조각 조형미술,null,null
4688586,공학 공업일반 토목공학 환경공학,null,null
4688587,공학 공업일반 토목공학 환경공학,null,null
4688588,nan,null,null
4688589,오락 스포츠,null,null
4688590,국제법,null,null
4688591,오락 스포츠,null,null
4688592,프로그래밍 프로그램 데이터,null,null
4688593,석조,null,null
4688594,프로그래밍 프로그램 데이터,null,null
4688595,한자서체,null,null
4688596,학교 행정 및 경영 보건 및 교육 지도,null,null
4688597,nan,null,null
4688598,컴퓨터과학,null,null
4688599,석조,null,null
4688600,nan,null,null
4688601,행정법,null,null
4688602,석조,null,null
4688603,한자서체,null,null
4688604,nan,null,null
4688605,nan,null,null
4688606,nan,null,null
4688607,nan,null,null
4688608,난방 환기 및 공기조화 공학,null,null
4688609,nan,null,null
4688610,석조,null,null
4688611,한의학,null,null
4688612,디자인,null,null
4688613,nan,null,null
4688614,석조,null,null
4688615,석조,null,null
4688616,음악,null,null
4688617,nan,null,null
4688618,오락 스포츠,null,null
4688619,nan,null,null
4688620,조각 조형미술,null,null
4688621,null,null,null
4688622,null,null,null
4688623,제상,null,null
4688624,제상,null,null
4688625,제상,null,null
4688626,제상,null,null
4688627,제상,null,null
4688628,nan,null,null
4688629,조각 조형미술,null,null
4688630,제상,null,null
4688631,석조,null,null
4688632,프로그래밍 프로그램 데이터,null,null
4688633,전각 인장,null,null
4688634,금동조,null,null
4688636,null,null,null
4688637,전각 인장,null,null
4688638,석조,null,null
4688639,전집 총서,null,null
4688640,사진기계 재료,null,null
4688641,null,null,null
4688642,석조,null,null
4688643,석조,null,null
4688644,석조,null,null
4688645,행정법,null,null
4688646,전각 인장,null,null
4688647,nan,null,null
4688648,nan,null,null
4688649,석조,null,null
4688650,석조,null,null
4688651,null,null,null
4688652,null,null,null
4688653,시,null,null
4688654,시,null,null
4688655,nan,null,null
4688656,사진집,null,null
4688657,사회복지,null,null
4688658,전각 인장,null,null
4688659,null,null,null
4688660,중국어,null,null
4688661,중국어,null,null
4688662,시,null,null
4688663,null,null,null
4688664,중국어,null,null
4688665,중국어,null,null
4688666,특수사진술,null,null
4688667,체육학 스포츠,null,null
4688668,체육학 스포츠,null,null
4688669,체육학 스포츠,null,null
4688670,석조,null,null
4688671,음운 음성 문자,null,null
4688672,수상경기 공중경기,null,null
4688673,중국어,null,null
4688674,수상경기 공중경기,null,null
4688675,체육학 스포츠,null,null
4688676,체육학 스포츠,null,null
4688677,중국어,null,null
4688678,칠공예,null,null
4688679,중국어,null,null
4688680,기타 재료,null,null
4688681,프로그래밍 프로그램 데이터,null,null
4688682,프로그래밍 프로그램 데이터,null,null
4688683,nan,null,null
4688684,자기,null,null
4688685,염직물공예 섬유공예,null,null
4688686,nan,null,null
4688687,통계학,null,null
4688688,nan,null,null
4688689,목조,null,null
4688690,중국어,null,null
4688691,아시아,null,null
4688692,nan,null,null
4688693,미술 전집 총서,null,null
4688694,nan,null,null
4688695,nan,null,null
4688696,nan,null,null
4688697,nan,null,null
4688698,nan,null,null
4688699,nan,null,null
4688700,nan,null,null
4688701,음운 음성 문자,null,null
4688702,null,null,null
4688703,null,null,null
4688704,null,null,null
4688705,null,null,null
4688706,제상,null,null
4688707,제상,null,null
4688708,중국어,null,null
4688709,null,null,null
4688710,null,null,null
4688711,국제법,null,null
4688712,nan,null,null
4688713,null,null,null
4688714,null,null,null
4688769,평생교육,null,null
4688772,독본 해석 회화,null,null
4688819,낙관 수결(서명),null,null
4688822,nan,null,null
4688899,심리학각론,null,null
4688900,콜롬비아,null,null
4688901,콜롬비아,null,null
4688902,null,null,null
4688903,null,null,null
4688904,null,null,null
4688905,콜롬비아,null,null
4688906,null,null,null
4688907,콜롬비아,null,null
4688909,null,null,null
4688910,null,null,null
4688911,null,null,null
4688912,null,null,null
4688913,콜롬비아,null,null
4688915,콜롬비아,null,null
4688918,교육학,null,null
4688919,소설,null,null
4688920,시,null,null
4688921,null,null,null
4688922,경제학,null,null
4688923,시,null,null
4688924,서남아시아 제국 철학 사상,null,null
4688925,기록관리학[1],null,null
4688926,null,null,null
4688927,소설,null,null
4688928,시,null,null
4688929,프로그래밍 프로그램 데이터,null,null
4688931,null,null,null
4688932,null,null,null
4688933,시,null,null
4688934,시,null,null
4688937,null,null,null
4688938,null,null,null
4688939,null,null,null
4688940,소설,null,null
4688942,문법,null,null
4688943,전집 총서,null,null
4688944,소설,null,null
4688945,null,null,null
4688946,null,null,null
4688947,null,null,null
4688948,소설,null,null
4688949,null,null,null
4688950,오스트로네시아어족,null,null
4688951,행정법,null,null
4688952,null,null,null
4688953,중국어,null,null
4688954,null,null,null
4688955,null,null,null
4688956,소설,null,null
4688957,디자인,null,null
4688958,시,null,null
4688959,세계사 세계문화사,null,null
4688960,소설,null,null
4688961,종교신앙 신앙록 신앙생활,null,null
4688962,전집 총서,null,null
4688963,전집 총서,null,null
4688964,디자인,null,null
4688965,학회 단체 협회 기관 회의,null,null
4688966,null,null,null
4688968,null,null,null
4688969,null,null,null
4688970,null,null,null
4688971,사회학,null,null
4688972,null,null,null
4688973,남아메리카 인디언어,null,null
4688974,북아메리카 인디언어,null,null
4688975,산수,null,null
4688996,null,null,null
4688997,시,null,null
4688998,null,null,null
4688999,null,null,null
4689000,국가별 서지 및 목록,null,null
4689001,베네수엘라와 기아나 지역,null,null
4689003,교파,null,null
4689004,소설,null,null
4689005,null,null,null
4689006,null,null,null
4689008,null,null,null
4689009,소설,null,null
4689012,아시아,null,null
4689013,풍자 및 유머,null,null
4689015,null,null,null
4689016,디자인,null,null
4689017,르포르타주 및 기타,null,null
4689019,전집 총서,null,null
4689020,시,null,null
4689021,음운 음성 문자,null,null
4689022,회화 도화 디자인,null,null
4689023,아시아,null,null
4689024,물리학,null,null
4689025,전집 총서,null,null
4689026,언어,null,null
4689027,아시아,null,null
4689029,시,null,null
4689030,null,null,null
4689031,null,null,null
4689033,nan,null,null
4689034,전집 총서,null,null
4689035,null,null,null
4689036,null,null,null
4689037,소설,null,null
4689038,소설,null,null
4689039,null,null,null
4689040,소설,null,null
4689041,null,null,null
4689042,소설,null,null
4689043,null,null,null
4689044,null,null,null
4689045,소설,null,null
4689046,소설,null,null
4689047,시,null,null
4689049,null,null,null
4689050,null,null,null
4689052,논리학,null,null
4689053,null,null,null
4689054,null,null,null
4689055,유대교(유태교),null,null
4689056,null,null,null
4689057,북아메리카,null,null
4689058,시,null,null
4689059,null,null,null
4689060,null,null,null
4689061,null,null,null
4689062,null,null,null
4689063,시,null,null
4689064,null,null,null
4689065,null,null,null
4689067,null,null,null
4689068,소설,null,null
4689069,null,null,null
4689070,비교종교,null,null
4689071,null,null,null
4689072,null,null,null
4689073,학교 행정 및 경영 보건 및 교육 지도,null,null
4689074,자기,null,null
4689075,자기,null,null
4689076,음운 음성 문자,null,null
4689077,음운 음성 문자,null,null
4689078,null,null,null
4689079,채색 이론 및 실제,null,null
4689081,null,null,null
4689082,소설,null,null
4689083,null,null,null
4689084,인도 철학 사상,null,null
4689097,공학 공업일반 토목공학 환경공학,null,null
4689098,디자인,null,null
4689100,양화처리(인화),null,null
4689109,null,null,null
4689111,사회 조직 및 제도,null,null
4689112,한자서법,null,null
4689113,자기,null,null
4689114,한자서법,null,null
4689115,한자서체,null,null
4689119,행정법,null,null
4689121,디자인,null,null
4689123,독일어,null,null
4689126,시,null,null
4689129,통계학,null,null
4689133,자기,null,null
4689136,통계학,null,null
4689137,통계학,null,null
4689138,통계학,null,null
4689139,통계학,null,null
4689141,디자인,null,null
4689147,디자인,null,null
4689340,nan,null,null
4689486,null,null,null
4689487,기타 제어,null,null
4689488,시,null,null
4689489,소설,null,null
4689490,교파,null,null
4689491,null,null,null
4689492,소설,null,null
4689493,null,null,null
4689494,경영,null,null
4689495,경영,null,null
4689496,null,null,null
4689498,교파,null,null
4689501,null,null,null
4689502,null,null,null
4689504,null,null,null
4689505,소설,null,null
4689506,null,null,null
4689508,null,null,null
4689509,시,null,null
4689510,null,null,null
4689511,null,null,null
4689512,아시아,null,null
4689513,디자인,null,null
4689514,null,null,null
4689515,null,null,null
4689516,연속간행물,null,null
4689517,nan,null,null
4689518,null,null,null
4689519,화학공학,null,null
4689521,null,null,null
4689538,광학,null,null
4689539,콜롬비아,null,null
4689540,시,null,null
4689541,null,null,null
4689542,디자인,null,null
4689543,null,null,null
4689545,null,null,null
4689546,null,null,null
4689547,null,null,null
4689548,디자인,null,null
4689552,통계학,null,null
4689565,null,null,null
4689566,디자인,null,null
4689567,귀납법,null,null
4689569,null,null,null
4689570,null,null,null
4689571,독본 해석 회화,null,null
4689572,null,null,null
4689573,채색 이론 및 실제,null,null
4689574,null,null,null
4689575,헌법,null,null
4689576,null,null,null
4689577,nan,null,null
4689578,힌두교 브라만교,null,null
4689579,예배형식 의식 의례,null,null
4689580,nan,null,null
4689581,창시자(교주) 및 제자,null,null
4689582,null,null,null
4689583,null,null,null
4689584,nan,null,null
4689585,유대교(유태교),null,null
4689586,희곡,null,null
4689587,기독교,null,null
4689588,null,null,null
4689589,기독교신학 교의학(조직신학),null,null
4689590,종교신앙 신앙록 신앙생활,null,null
4689592,nan,null,null
4689593,null,null,null
4689594,null,null,null
4689595,경제각론,null,null
4689596,null,null,null
4689597,소설,null,null
4689598,베네수엘라와 기아나 지역,null,null
4689602,펜습자,null,null
4689637,null,null,null
4689638,디자인,null,null
4689641,라마교,null,null
4689642,소설,null,null
4689643,nan,null,null
4689644,시,null,null
4689645,전집 총서,null,null
4689646,시,null,null
4689649,인디아와 남부아시아,null,null
4689651,헌법,null,null
4689652,경제학,null,null
4689654,null,null,null
4691025,null,null,null
4691026,소설,null,null
4691027,전집 총서,null,null
4691028,소설,null,null
4691029,null,null,null
4691030,소설,null,null
4691031,일기 서간 기행,null,null
4691032,null,null,null
4691033,전집 총서,null,null
4691034,전집 총서,null,null
4691035,소설,null,null
4691036,전집 총서,null,null
4691037,전집 총서,null,null
4691038,null,null,null
4691041,오스트로네시아어족,null,null
4691042,기타 게르만어파,null,null
4691045,전집 총서,null,null
4691046,디자인,null,null
4691047,디자인,null,null
4691050,음운 음성 문자,null,null
4691052,null,null,null
4691055,아시아,null,null
4691058,nan,null,null
4691059,null,null,null
4691060,인도-유럽어족,null,null
4691063,사회 조직 및 제도,null,null
4691064,오스트로네시아어족,null,null
4691065,아시아,null,null
4691070,통계학,null,null
4691077,null,null,null
4691080,잡저,null,null
4691081,nan,null,null
4691083,한자서법,null,null
4691090,종교철학 및 종교사상,null,null
4691094,null,null,null
4691095,null,null,null
4691096,null,null,null
4691097,프로그래밍 프로그램 데이터,null,null
4691098,null,null,null
4691099,null,null,null
4691100,null,null,null
4691101,null,null,null
4691105,null,null,null
4691109,null,null,null
4691111,null,null,null
4691116,서남아시아 중동,null,null
4691120,소설,null,null
4691123,null,null,null
4691128,null,null,null
4691131,기타 아시아 제문학,null,null
4691134,null,null,null
4691136,텔레비전극 및 시청각매체 방송 예술,null,null
4691137,null,null,null
4691140,null,null,null
4691188,null,null,null
4691189,통계학,null,null
4691190,null,null,null
4691191,기타 게르만어파,null,null
4691192,서남아시아 제국 철학 사상,null,null
4691193,null,null,null
4691194,소설,null,null
4691195,시,null,null
4691196,한자서체,null,null
4691197,한자서체,null,null
4691198,null,null,null
4691199,nan,null,null
4691200,디자인,null,null
4691201,콜롬비아,null,null
4691202,null,null,null
4691203,역법 측시법,null,null
4691204,소설,null,null
4691206,학회 단체 협회 기관 회의,null,null
4691207,null,null,null
4691208,null,null,null
4691209,사전,null,null
4691210,null,null,null
4691212,null,null,null
4691213,null,null,null
4691214,null,null,null
4691215,사회 조직 및 제도,null,null
4691216,nan,null,null
4691217,연구법 연구방법 및 교육 교육자료,null,null
4691218,일반 전집 총서,null,null
4691219,null,null,null
4691220,null,null,null
4691221,null,null,null
4691222,null,null,null
4691223,null,null,null
4691224,경전 성전,null,null
4691225,교육 정책 및 행정,null,null
4691226,null,null,null
4691227,null,null,null
4691228,null,null,null
4691229,null,null,null
4691230,교육 정책 및 행정,null,null
4691231,교육 정책 및 행정,null,null
4691232,null,null,null
4691233,교육 정책 및 행정,null,null
4691234,펜습자,null,null
4691235,null,null,null
4691236,null,null,null
4691237,null,null,null
4691238,교육과정,null,null
4691241,자기,null,null
4691345,기타 재료,null,null
4691346,null,null,null
4691348,null,null,null
4691349,난방 환기 및 공기조화 공학,null,null
4691350,null,null,null
4691351,null,null,null
4691353,사회복지,null,null
4691354,난방 환기 및 공기조화 공학,null,null
4691355,난방 환기 및 공기조화 공학,null,null
4691356,null,null,null
4691357,null,null,null
4691358,소설,null,null
4691360,null,null,null
4691362,null,null,null
4691363,nan,null,null
4691392,아시아,null,null
4691393,null,null,null
4691394,null,null,null
4691397,null,null,null
4691398,null,null,null
4691399,null,null,null
4691400,null,null,null
4691401,null,null,null
4691403,nan,null,null
4691404,종교철학 및 종교사상,null,null
4691406,소설,null,null
4691407,null,null,null
4691408,null,null,null
4691409,기계 역학 요소 및 설계,null,null
4691410,기체역학,null,null
4691411,null,null,null
4691412,null,null,null
4691413,자기,null,null
4691414,null,null,null
4691416,제상,null,null
4691417,null,null,null
4691418,사회 조직 및 제도,null,null
4691423,null,null,null
4691424,null,null,null
4691426,null,null,null
4691428,null,null,null
4691429,교파,null,null
4691431,기타 게르만어파,null,null
4691507,잡저,null,null
4691508,경전(불전 불경 대장경),null,null
4691509,전집 총서,null,null
4691511,일본문학 및 기타 아시아 제문학,null,null
4691512,null,null,null
4691513,전집 총서,null,null
4691514,소설,null,null
4691515,소설,null,null
4691516,소설,null,null
4691517,소설,null,null
4691518,소설,null,null
4691519,소설,null,null
4691520,소설,null,null
4691521,null,null,null
4691522,전집 총서,null,null
4691523,전집 총서,null,null
4691524,전집 총서,null,null
4691525,소설,null,null
4691526,개인의 일반전집,null,null
4691527,소설,null,null
4691528,개인의 일반전집,null,null
4691529,소설,null,null
4691530,기독교신학 교의학(조직신학),null,null
4691531,null,null,null
4691532,경제학,null,null
4691533,null,null,null
4691534,null,null,null
4691535,볼리비아,null,null
4691536,null,null,null
4691537,사회학,null,null
4691538,null,null,null
4691539,null,null,null
4691540,국제법,null,null
4691716,null,null,null
4691717,소설,null,null
4691718,nan,null,null
4691719,시,null,null
4691720,null,null,null
4691721,회화 도화 디자인,null,null
4691722,null,null,null
4691723,null,null,null
4691725,소설,null,null
4691727,소설,null,null
4691728,null,null,null
4691729,null,null,null
4691730,null,null,null
4691731,기독교신학 교의학(조직신학),null,null
4691732,경전 성전,null,null
4691733,교육학,null,null
4691734,경전 성전,null,null
4691735,교파,null,null
4691736,교파,null,null
4691737,교파,null,null
4691738,교파,null,null
4691739,null,null,null
4691740,null,null,null
4691741,교파,null,null
4691742,소설,null,null
4691743,null,null,null
4691744,null,null,null
4691745,교육학,null,null
4691746,null,null,null
4691747,null,null,null
4691748,null,null,null
4691749,잡저,null,null
4691750,소설,null,null
4691751,헌법,null,null
4695330,음운 음성 문자,null,null
4695331,음운 음성 문자,null,null
4695332,음운 음성 문자,null,null
4695333,음운 음성 문자,null,null
4695373,음운 음성 문자,null,null
4695374,음운 음성 문자,null,null
4698911,교조 개조(장도릉),null,null
4698912,null,null,null
4698913,null,null,null
4698914,null,null,null
4698915,null,null,null
4698916,한의학,null,null
4698917,시,null,null
4698918,시,null,null
4698919,null,null,null
4698920,nan,null,null
4698921,null,null,null
4698922,null,null,null
4698923,null,null,null
4698924,null,null,null
4698925,null,null,null
4698926,null,null,null
4698940,시,null,null
4698941,null,null,null
4698942,null,null,null
4698943,전집 총서,null,null
4698944,전집 총서,null,null
4698945,전집 총서,null,null
4698946,소설,null,null
4698947,소설,null,null
4698948,null,null,null
4698949,null,null,null
4698950,남아메리카 ,null,null
4698951,낙관 수결(서명),null,null
4698952,사회학 사회문제,null,null
4698953,null,null,null
4698954,nan,null,null
4698955,null,null,null
4698956,null,null,null
4698958,통계학,null,null
4698959,null,null,null
4698960,null,null,null
4698961,null,null,null
4698962,null,null,null
4698964,nan,null,null
4698965,null,null,null
4698966,null,null,null
4698967,null,null,null
4698968,null,null,null
4698969,null,null,null
4698970,null,null,null
4698971,낙관 수결(서명),null,null
4698972,null,null,null
4698973,null,null,null
4698974,null,null,null
4698976,자기,null,null
4698977,null,null,null
4698978,null,null,null
4698979,null,null,null
4698980,자기,null,null
4698983,null,null,null
4698984,null,null,null
4698986,전집 총서,null,null
4698987,null,null,null
4698988,콜롬비아,null,null
4698989,통계학,null,null
4698990,null,null,null
4698991,자기,null,null
4698993,null,null,null
4698995,소설,null,null
4699013,시,null,null
4699014,null,null,null
4699015,null,null,null
4699016,콜롬비아,null,null
4699017,null,null,null
4699018,교육학,null,null
4699019,물리학,null,null
4699020,null,null,null
4699021,null,null,null
4699022,null,null,null
4699023,nan,null,null
4699024,헌법,null,null
4699026,아시아,null,null
4699041,사회학 사회문제,null,null
4699048,프로그래밍 프로그램 데이터,null,null
4699049,양화처리(인화),null,null
4699050,nan,null,null
4699051,null,null,null
4699052,자기,null,null
4699053,사회 조직 및 제도,null,null
4699059,null,null,null
4699061,nan,null,null
4699062,시,null,null
4699063,null,null,null
4699064,null,null,null
4699065,null,null,null
4699066,불교,null,null
4699067,교파,null,null
4699068,null,null,null
4699069,소설,null,null
4699070,소설,null,null
4699071,소설,null,null
4699072,소설,null,null
4699073,소설,null,null
4699074,null,null,null
4699075,소설,null,null
4699076,null,null,null
4699077,소설,null,null
4699078,시,null,null
4699079,null,null,null
4699080,소설,null,null
4699081,null,null,null
4699082,null,null,null
4699083,기타 제법,null,null
4699084,null,null,null
4699085,null,null,null
4699086,학교 행정 및 경영 보건 및 교육 지도,null,null
4699087,물리학,null,null
4699091,독본 해석 회화,null,null
4699096,경제학,null,null
4699097,경제학,null,null
4699098,경제학,null,null
4699108,시,null,null
4699109,시,null,null
4699111,시,null,null
4699113,사회복지,null,null
4699144,유럽,null,null
4699145,전집 총서,null,null
4699146,교육학,null,null
4699147,null,null,null
4699148,null,null,null
4699149,null,null,null
4699150,북아메리카,null,null
4699151,세계사 세계문화사,null,null
4699152,예절,null,null
4699153,학회 단체 협회 기관 회의,null,null
4699154,null,null,null
4699155,자기,null,null
4699200,기독교,null,null
4699201,전집 총서,null,null
4699202,디자인,null,null
4699204,null,null,null
4699207,null,null,null
4699210,기타 게르만어파,null,null
4699211,디자인,null,null
4699220,디자인,null,null
4699223,null,null,null
4699224,null,null,null
4699232,null,null,null
4699233,자기,null,null
4699236,전집 총서,null,null
4699239,스페인어 및 포르투갈어,null,null
4699240,null,null,null
4699241,null,null,null
4699242,null,null,null
4699243,시,null,null
4699248,null,null,null
4699249,전집 총서,null,null
4699253,null,null,null
4699258,null,null,null
4699260,잡저,null,null
4699261,인디아와 남부아시아,null,null
4699262,null,null,null
4699266,null,null,null
4699267,null,null,null
4699269,null,null,null
4699270,null,null,null
4699271,제상,null,null
4699272,null,null,null
4699273,전집 총서,null,null
4699274,null,null,null
4699275,null,null,null
4699276,프로그래밍 프로그램 데이터,null,null
4699277,null,null,null
4699278,null,null,null
4699279,자기,null,null
4699280,교파,null,null
4699281,교파,null,null
4699282,교파,null,null
4699283,nan,null,null
4699285,null,null,null
4699286,소설,null,null
4699287,소설,null,null
4699288,null,null,null
4699289,소설,null,null
4699290,소설,null,null
4699291,소설,null,null
4699292,소설,null,null
4699293,null,null,null
4699296,시,null,null
4699298,null,null,null
4699299,null,null,null
4699300,null,null,null
4699302,null,null,null
4699303,남아메리카 ,null,null
4699304,null,null,null
4699305,null,null,null
4699306,포교 교육 교화활동,null,null
4699307,null,null,null
4699308,null,null,null
4699309,null,null,null
4699310,null,null,null
4699312,남아메리카 ,null,null
4699313,null,null,null
4699318,null,null,null
4699319,유럽,null,null
4699325,학교 행정 및 경영 보건 및 교육 지도,null,null
4699330,언어사 및 언어정책 언어행정,null,null
4699335,null,null,null
4699336,null,null,null
4699337,null,null,null
4699338,null,null,null
4699339,null,null,null
4699340,null,null,null
4699360,인도 철학 사상,null,null
4699361,경제학,null,null
4699364,null,null,null
4699365,null,null,null
4699366,null,null,null
4699367,아시아,null,null
4699368,null,null,null
4699369,null,null,null
4699370,null,null,null
4699371,기타 게르만어파,null,null
4699372,잡저,null,null
4699373,null,null,null
4699374,null,null,null
4699375,null,null,null
4699376,null,null,null
4699377,null,null,null
4699378,null,null,null
4699379,언어학,null,null
4699380,경제학,null,null
4699381,null,null,null
4699384,교육학,null,null
4699385,null,null,null
4699386,산수,null,null
4699387,nan,null,null
4699388,nan,null,null
4699390,사회복지,null,null
4699391,콜롬비아,null,null
4699392,디자인,null,null
4699393,시,null,null
4699394,컴퓨터과학,null,null
4699395,시,null,null
4699396,null,null,null
4699397,사회학 사회문제,null,null
4699398,소설,null,null
4699399,null,null,null
4699400,nan,null,null
4699401,조각 조형미술,null,null
4699403,nan,null,null
4699404,음운 음성 문자,null,null
4699405,시,null,null
4699406,null,null,null
4699407,null,null,null
4699409,nan,null,null
4699410,디자인,null,null
4699411,기술사,null,null
4699412,null,null,null
4699413,전각 인장,null,null
4699414,null,null,null
4699415,프로그래밍 프로그램 데이터,null,null
4699416,군사 시설 및 장비,null,null
4699417,nan,null,null
4699418,양화처리(인화),null,null
4699419,독본 해석 회화,null,null
4699422,독본 해석 회화,null,null
4699423,석조,null,null
4699424,사진집,null,null
4699425,nan,null,null
4699426,문법,null,null
4699427,중국어,null,null
4699428,null,null,null
4699429,낙관 수결(서명),null,null
4699430,여성문제,null,null
4699431,nan,null,null
4699432,의학,null,null
4699433,합리론,null,null
4699434,한자서체,null,null
4699435,사전,null,null
4699436,nan,null,null
4699439,자기,null,null
4699441,전집 총서,null,null
4699446,null,null,null
4699447,희곡,null,null
4699453,어원 어의,null,null
4699454,디자인,null,null
4699455,제상,null,null
4699456,사회복지,null,null
4699457,null,null,null
4699458,null,null,null
4699460,null,null,null
4699461,null,null,null
4699462,시,null,null
4699463,시,null,null
4699464,null,null,null
4699465,펜습자,null,null
4699466,null,null,null
4699468,null,null,null
4699474,null,null,null
4699479,석조,null,null
4699483,프로그래밍 프로그램 데이터,null,null
4699486,nan,null,null
4699487,nan,null,null
4699488,null,null,null
4699490,시,null,null
4699491,군특수기술근무,null,null
4699492,null,null,null
4699493,null,null,null
4699494,null,null,null
4699495,낙관 수결(서명),null,null
4699496,null,null,null
4699497,시,null,null
4699498,null,null,null
4699499,null,null,null
4699500,자기,null,null
4699501,null,null,null
4699502,null,null,null
4699503,사회 조직 및 제도,null,null
4699507,null,null,null
4699508,null,null,null
4699509,null,null,null
4699510,소설,null,null
4699511,사회학 사회문제,null,null
4699512,전집 총서,null,null
4699514,null,null,null
4699515,철학,null,null
4699517,소설,null,null
4699518,개인의 일반전집,null,null
4699519,null,null,null
4699520,null,null,null
4699521,null,null,null
4699522,경제학,null,null
4699523,null,null,null
4699524,null,null,null
4699525,null,null,null
4699526,null,null,null
4699527,사회 조직 및 제도,null,null
4699528,null,null,null
4699529,학교 행정 및 경영 보건 및 교육 지도,null,null
4699530,null,null,null
4699531,소설,null,null
4699532,null,null,null
4699533,null,null,null
4699534,null,null,null
4699535,학회 단체 협회 기관 회의,null,null
4699536,null,null,null
4699537,null,null,null
4699538,시,null,null
4699539,시,null,null
4700445,null,null,null
4700446,null,null,null
4700447,null,null,null
4700448,null,null,null
4700449,null,null,null
4700450,null,null,null
4700451,행정법,null,null
4700452,유럽,null,null
4700453,null,null,null
4700454,null,null,null
4700455,소설,null,null
4700456,null,null,null
4700457,소설,null,null
4700458,오스트로네시아어족,null,null
4700459,디자인,null,null
4700460,null,null,null
4700461,콜롬비아,null,null
4700462,null,null,null
4700463,null,null,null
4700464,null,null,null
4700466,null,null,null
4700467,null,null,null
4700468,null,null,null
4700469,null,null,null
4700470,null,null,null
4700472,중국어,null,null
4700473,null,null,null
4700474,음운 음성 문자,null,null
4700481,북아메리카 인디언문학,null,null
4700482,소설,null,null
4700483,소설,null,null
4700485,콜롬비아,null,null
4700486,아시아,null,null
4700487,콜롬비아,null,null
4700488,콜롬비아,null,null
4700490,여성문제,null,null
4700491,null,null,null
4700492,콜롬비아,null,null
4700493,연구법 연구방법 및 교육 교육자료,null,null
4700494,null,null,null
4700495,null,null,null
4700496,사회과학,null,null
4700498,강연집 수필집 연설문집,null,null
4700499,nan,null,null
4700500,생활문제,null,null
4700503,군사 시설 및 장비,null,null
4700504,사전 사전[2],null,null
4700505,연속간행물,null,null
4700506,판화,null,null
4700507,교육 정책 및 행정,null,null
4700508,null,null,null
4700509,사전 사전[2],null,null
4700517,교파,null,null
4700518,null,null,null
4700519,null,null,null
4700520,null,null,null
4700521,null,null,null
4700522,null,null,null
4700523,소설,null,null
4700524,null,null,null
4700525,null,null,null
4700526,시,null,null
4700527,null,null,null
4700528,nan,null,null
4700529,null,null,null
4700530,null,null,null
4700531,null,null,null
4700532,사회복지,null,null
4700533,교의 신선사상,null,null
4700534,null,null,null
4700535,null,null,null
4700536,null,null,null
4700537,null,null,null
4700538,국방 군사학,null,null
4700541,난방 환기 및 공기조화 공학,null,null
4700542,난방 환기 및 공기조화 공학,null,null
4700543,자기,null,null
4700544,공학 공업일반 토목공학 환경공학,null,null
4700546,물리학,null,null
4700547,브라질,null,null
4700548,공학 공업일반 토목공학 환경공학,null,null
4700549,공학 공업일반 토목공학 환경공학,null,null
4700550,null,null,null
4700601,사회복지,null,null
4700605,사회단체,null,null
